yearmo;SENT;SENT_ORTH;pdnd;ripo;nipo;cefd;s;indpro;consdur;consnon;consserv;recess;employ;cpi
196904;2.358;2.431;-20.79999924;23.10000038;76;-8.18999958;0.25;38.68420029;90.40000153;210.8000031;292.7000122;0;70072;36.29999924
196905;2.743;2.840;-20.05999947;22.79999924;72;-7.199999809;0.270000011;38.5379982;90.5;213.6000061;296.2999878;0;70328;36.40000153
196906;2.806;2.970;-16.45999908;-2.5;78;-6.340000153;0.280000001;38.91450119;90.5;212.3000031;298.1000061;0;70636;36.59999847
196907;2.790;2.876;-14.38000011;-11.89999962;34;-5.829999924;0.289999992;39.11999893;88.59999847;214.6000061;299.5;0;70729;36.79999924
196908;2.672;2.675;-16.03000069;13.5;33;-3.319999933;0.289999992;39.2098999;90.69999695;217.3000031;301.8999939;0;71008;37
196909;3.025;3.091;-16.11000061;5.699999809;54;-8.159999847;0.289999992;39.2010994;92.59999847;216;304.6000061;0;70914;37.09999847
196910;2.868;2.864;-15.26000023;13.80000019;85;-6.809999943;0.300000012;39.21250153;91.40000153;219.1999969;307.8999939;0;71121;37.29999924
196911;2.920;3.012;-13.23999977;21.10000038;68;-6.300000191;0.310000002;38.84289932;90.69999695;219.3000031;310.5;0;71086;37.5
196912;3.042;3.214;-11.81000042;-4.699999809;71;-7.579999924;0.310000002;38.73870087;90.40000153;220.6999969;311.6000061;0;71241;37.70000076
197001;2.821;2.918;-9.859999657;8.300000191;76;-5.590000153;0.310000002;38.02130127;89.30000305;224.5;314.8999939;1;71176;37.79999924
197002;2.442;2.164;-6.71999979;2.700000048;38;-4.239999771;0.300000012;37.99629974;91;224;319;1;71305;38
197003;2.411;2.282;-2.470000029;-2.5;38;-8.090000153;0.300000012;37.94689941;88.5;225;318.7999878;1;71451;38.20000076
197004;2.277;2.065;6.050000191;-10.69999981;34;-9.100000381;0.289999992;37.84939957;90;224.6999969;321.3999939;1;71348;38.5
197005;1.993;1.789;8.529999733;-28.79999924;11;-7.449999809;0.270000011;37.80530167;91.19999695;227.1999969;324.1000061;1;71124;38.59999847
197006;1.552;1.311;10.13000011;6.400000095;26;-4.28000021;0.25999999;37.68299866;91.90000153;227.8000031;326.6000061;1;71029;38.79999924
197007;1.508;1.374;12.56000042;1.600000024;23;-6.630000114;0.25999999;37.77550125;91.40000153;228.3000031;328.7999878;1;71053;39
197008;1.295;1.095;11.94999981;-11;17;-2.099999905;0.25;37.70809937;92.30000305;229.1000061;331.3999939;1;70937;39
197009;1.206;1.029;5.329999924;3;20;-2.75999999;0.239999995;37.44820023;92.30000305;231.6999969;335;1;70944;39.20000076
197010;0.909;0.799;9.859999657;0.300000012;23;0.699999988;0.239999995;36.69910049;89.69999695;232.5;336.1000061;1;70521;39.40000153
197011;0.671;0.558;12.77999973;9.699999809;30;2.480000019;0.230000004;36.47679901;85.19999695;233.5;337.8999939;1;70409;39.59999847
197012;0.566;0.498;14.13000011;0.800000012;22;0.349999994;0.219999999;37.3144989;87.09999847;237.3999939;341.1000061;0;70792;39.79999924
197101;0.397;0.539;11.09000015;24.20000076;17;0.029999999;0.219999999;37.60150146;97.40000153;236.3000031;342.3999939;0;70865;39.79999924
197102;0.142;0.266;10.30000019;35.79999924;19;2.769999981;0.219999999;37.5298996;97.19999695;236.5;345.7000122;0;70807;39.90000153
197103;-0.045;-0.031;6.760000229;9.300000191;32;3.539999962;0.209999993;37.48920059;99.59999847;234.6000061;347.7999878;0;70860;40
197104;-0.460;-0.480;9.779999733;37.09999847;32;6.409999847;0.219999999;37.69979858;100.3000031;238.1000061;350.3999939;0;71036;40.09999847
197105;-0.686;-0.693;9.390000343;16.29999924;29;9.279999733;0.230000004;37.89110184;99.59999847;237.8000031;353.7000122;0;71247;40.29999924
197106;-0.803;-0.871;10.18000031;21;30;11.72999954;0.239999995;38.04999924;103;240.6000061;356.1000061;0;71254;40.59999847
197107;-0.760;-0.857;12.43999958;-2.900000095;32;10.44999981;0.270000011;37.9394989;101.0999985;239.1000061;358.7000122;0;71315;40.70000076
197108;-0.863;-0.911;11.21000004;41.70000076;31;13.01000023;0.270000011;37.71929932;102.1999969;240.3000031;362.2999878;0;71373;40.79999924
197109;-0.715;-0.841;11.80000019;8.899999619;37;14.27999973;0.280000001;38.33240128;107;241.8000031;364.2000122;0;71614;40.79999924
197110;-0.795;-1.052;13.63000011;12.69999981;35;12.75;0.289999992;38.61930084;107.1999969;241.1999969;367.3999939;0;71642;40.90000153
197111;-0.923;-1.201;15.28999996;19.39999962;49;12.98999977;0.289999992;38.78319931;107.3000031;244;369.7000122;0;71847;40.90000153
197112;-0.922;-1.162;13.53999996;24.29999924;48;13.35000038;0.289999992;39.23089981;107.4000015;245.6000061;375.3999939;0;72109;41.09999847
197201;-0.731;-1.108;9.529999733;17.79999924;39;11.25;0.289999992;40.16880035;110.5;243.1999969;377.7000122;0;72441;41.09999847
197202;-0.818;-1.154;9.850000381;27.79999924;38;15.47000027;0.300000012;40.58369827;109.3000031;246.6000061;380.2999878;0;72648;41.29999924
197203;-0.684;-1.150;10.76000023;22.10000038;66;16.48999977;0.310000002;40.8655014;112.3000031;251.3000031;385.6000061;0;72944;41.40000153
197204;-0.657;-1.079;14.03999996;19.70000076;66;17.78000069;0.300000012;41.2655983;112.9000015;252.1999969;387.5;0;73162;41.5
197205;-0.673;-1.049;15.67000008;5.800000191;49;20.19000053;0.310000002;41.27059937;114.5;255.3999939;388.1000061;0;73469;41.59999847
197206;-0.565;-0.960;16.07999992;10.30000019;66;19.15999985;0.319999993;41.37860107;114.8000031;255.3000031;391.3999939;0;73758;41.70000076
197207;-0.630;-1.035;19;0.899999976;32;18.31999969;0.289999992;41.33470154;116.5999985;258;395.2999878;0;73709;41.90000153
197208;-0.552;-0.995;20.54000092;20;51;20.01000023;0.289999992;41.90459824;118.3000031;259.6000061;398.5;0;74141;42
197209;-0.487;-0.918;21.89999962;10.89999962;32;18.20000076;0.300000012;42.22840118;117.9000015;262.7000122;400.6000061;0;74264;42.09999847
197210;-0.542;-1.008;22.88999939;-1.899999976;43;18.88999939;0.300000012;42.7745018;122;267.7000122;405.2000122;0;74674;42.29999924
