Date;Stocks;Return
1902.06;1,540.20;-0.014303542
1902.07;1,579.97;0.025821322
1902.08;1,646.37;0.042026114
1902.09;1,635.94;-0.006335149
1902.1;1,485.59;-0.091904349
1902.11;1,481.46;-0.00278004
1902.12;1,436.10;-0.030618444
1903.01;1,497.54;0.042782536
1903.02;1,493.60;-0.002630981
1903.03;1,489.04;-0.003053026
1903.04;1,433.39;-0.037373073
1903.05;1,443.68;0.007178786
1903.06;1,369.28;-0.051534966
1903.07;1,311.78;-0.041992872
1903.08;1,275.13;-0.027939136
1903.09;1,235.51;-0.031071342
1903.1;1,214.90;-0.01668137
1903.11;1,238.81;0.019680632
1903.12;1,301.77;0.050822967
1904.01;1,298.73;-0.002335282
1904.02;1,240.78;-0.044620514
1904.03;1,256.48;0.012653331
1904.04;1,307.81;0.040852222
1904.05;1,315.96;0.006231792
1904.06;1,323.55;0.005767653
1904.07;1,383.98;0.045657512
1904.08;1,419.73;0.025831298
1904.09;1,470.81;0.035978672
1904.1;1,562.51;0.062346598
1904.11;1,615.33;0.033804584
1904.12;1,636.25;0.012950914
1905.01;1,677.11;0.024971734
1905.02;1,755.91;0.046985588
1905.03;1,831.60;0.043105854
1905.04;1,814.68;-0.009237825
1905.05;1,750.65;-0.035284458
1905.06;1,776.73;0.014897324
1905.07;1,838.05;0.034512841
1905.08;1,890.29;0.028421425
1905.09;1,923.88;0.01776976
1905.1;1,956.65;0.017033287
1905.11;1,929.74;-0.013753098
1905.12;1,960.84;0.016116161
1906.01;2,034.42;0.037524734
1906.02;2,025.86;-0.004207587
1906.03;1,982.23;-0.021536533
1906.04;1,961.38;-0.010518456
1906.05;1,894.32;-0.034190213
1906.06;1,925.36;0.016385827
1906.07;1,946.97;0.011223875
1906.08;2,050.56;0.05320575
1906.09;2,096.94;0.022618212
1906.1;1,996.61;-0.047845909
1906.11;2,022.42;0.012926911
1906.12;1,989.48;-0.016287418
1907.01;1,960.53;-0.014551541
1907.02;1,865.82;-0.048308366
1907.03;1,707.32;-0.084949245
1907.04;1,722.54;0.008914556
1907.05;1,635.33;-0.050628723
1907.06;1,573.52;-0.037796653
1907.07;1,640.82;0.042770349
1907.08;1,525.02;-0.070574469
1907.09;1,516.08;-0.005862218
1907.1;1,344.72;-0.113028336
1907.11;1,327.29;-0.012961806
1907.12;1,433.52;0.08003526
1908.01;1,519.07;0.059678274
1908.02;1,488.00;-0.020453304
1908.03;1,556.95;0.046337366
1908.04;1,630.74;0.047393943
1908.05;1,726.52;0.058734072
1908.06;1,736.71;0.005902046
1908.07;1,788.59;0.029872575
1908.08;1,873.15;0.047277464
1908.09;1,860.49;-0.006758669
1908.1;1,870.66;0.005466302
1908.11;1,983.60;0.060374413
1908.12;2,014.58;0.015618068
1909.01;2,050.36;0.017760526
1909.02;1,978.14;-0.035223083
1909.03;2,012.80;0.01752151
1909.04;2,067.31;0.027081677
1909.05;2,121.90;0.026406296
1909.06;2,145.18;0.010971299
1909.07;2,183.54;0.017881949
1909.08;2,221.63;0.01744415
1909.09;2,209.55;-0.005437449
1909.1;2,182.82;-0.012097486
1909.11;2,158.95;-0.010935395
1909.12;2,171.29;0.005715741
1910.01;2,153.20;-0.008331453
1910.02;2,084.22;-0.032036039
1910.03;2,103.24;0.009125716
1910.04;2,041.22;-0.029487838
1910.05;2,053.92;0.006221769
1910.06;1,982.12;-0.034957545
1910.07;1,890.23;-0.046359454
1910.08;1,963.44;0.038730736
1910.09;2,004.77;0.02104979
1910.1;2,169.55;0.082193967
1910.11;2,221.17;0.023792952
1910.12;2,168.48;-0.023721732
1911.01;2,230.58;0.028637571
1911.02;2,351.22;0.054084588
