Date;Value Returns;Momentum Returns;Value-Momentum Spread;Value 12M Returns;Momentum 12M Returns;Value-Momentum 12M Spread;Value 36M Returns;Momentum 36M Returns;Value-Momentum 36M Spread;Rolling Value Mean;Rolling Momentum Mean;Rolling Mean Difference;Value Volatility;Momentum Volatility;Volatility Difference;Value Skewness;Momentum Skewness;Skewness Difference;Value Excess Curtosis;Momentum Excess Kurtosis;Kurtosis Difference;Correlation;Value Drawdown;Momentum Drawdown;Drawdown Difference;Regime;;
31.10.1930;0.017396721;0.006457629;0.010939092;-0.01582155;0.048849599;-0.064671149;-0.088342874;0.309389776;-0.39773265;-0.001231416;0.004163761;-0.005395176;0.014523586;0.020015659;-0.005492073;0.143211476;0.779889193;-0.636677718;0.147535573;0.508356311;-0.360820739;-0.36459597;-0.174772833;0;-0.174772833;0;;
28.11.1930;-0.007988098;-0.007653551;-0.000334548;-0.048199044;0.061604882;-0.109803925;-0.075530476;0.27591958;-0.351450056;-0.004043528;0.005157355;-0.009200884;0.011842331;0.019000206;-0.007157875;-0.1749772;0.909845703;-1.084822903;0.358385044;0.896062057;-0.537677013;-0.16636553;-0.181364829;-0.007653551;-0.173711278;1;;
31.12.1930;-0.009076536;0.020972863;-0.030049399;-0.031966627;0.053490255;-0.085456882;-0.07413616;0.272440001;-0.346576162;-0.002658841;0.004502009;-0.00716085;0.0098916;0.018229187;-0.008337587;0.321546027;0.991851184;-0.670305157;0.919204887;1.617642051;-0.698437164;0.016219004;-0.188795201;0;-0.188795201;1;;
30.01.1931;0.014479969;-0.022528939;0.037008907;-0.021369908;0.052480975;-0.073850884;-0.05184894;0.215697698;-0.267546638;-0.001743432;0.004423897;-0.006167329;0.010963136;0.018352753;-0.007389617;0.332323473;0.952256901;-0.619933429;-0.058600922;1.587841469;-1.646442391;-0.121845156;-0.177048981;-0.022528939;-0.154520042;0;;
27.02.1931;0.015004977;-0.018578698;0.033583675;-0.014152248;0.045738231;-0.059890479;-0.031461755;0.20598198;-0.237443735;-0.001124172;0.00389656;-0.005020732;0.011720959;0.018956411;-0.007235452;0.345037199;0.843655266;-0.498618066;-0.531429523;1.280164486;-1.811594008;-0.202797507;-0.164700619;-0.040689078;-0.124011541;0;;
31.03.1931;0.008118947;0.008396512;-0.000277565;-0.001953398;0.052467049;-0.054420446;0.003964063;0.176073105;-0.172109042;-9.73415E-05;0.004433815;-0.004531156;0.011963935;0.018987544;-0.00702361;0.066799311;0.739189762;-0.672390451;-0.861749837;1.116707473;-1.97845731;-0.18675617;-0.157918868;-0.032634212;-0.125284656;1;;
30.04.1931;0.000333106;0.030779952;-0.030446846;0.005478765;0.078920621;-0.073441856;0.00162185;0.203271482;-0.201649631;0.000518836;0.006539917;-0.006021082;0.011761375;0.020461794;-0.008700419;-0.09583328;0.451532579;-0.547365859;-0.656466004;-0.160498119;-0.495967885;-0.175061647;-0.157638366;-0.00285874;-0.154779625;1;;
29.05.1931;-0.01199916;0.017424681;-0.029423841;-0.003502609;0.094664359;-0.098166968;-0.007762153;0.221066493;-0.228828646;-0.00022323;0.007759322;-0.007982553;0.012279571;0.020653244;-0.008373674;0.020844363;0.242893015;-0.222048652;-1.053134699;-0.409263907;-0.643870792;-0.215923471;-0.167745998;0;-0.167745998;1;;
30.06.1931;0.041260966;-0.074194197;0.115455163;0.044451398;-0.005507816;0.049959215;0.031139414;0.118487548;-0.087348133;0.00376073;-1.18114E-05;0.003772541;0.016920018;0.030978178;-0.01405816;0.756730525;-1.029430674;1.786161199;0.872464316;2.244439773;-1.371975457;-0.617305058;-0.133406394;-0.074194197;-0.059212196;0;;
31.07.1931;0.011880564;0.047187193;-0.035306629;0.063813631;0.053503709;0.010309922;0.025296044;0.203740545;-0.178444501;0.005295481;0.004876331;0.00041915;0.016735351;0.033528603;-0.016793253;0.488775477;-1.032149085;1.520924562;0.732171965;1.805598115;-1.07342615;-0.548251841;-0.123110773;-0.03050802;-0.092602753;1;;
